کد_داخلی,کد_کالا,نام_کالا,فعال,موجودی,قیمت_خرید_تومان
1403,,دامن ساتن پلیسه,بله,1,7950000
1165,,پیراهن بابوس یک و دو تک رنگ 8011,بله,0,7800000
1273,,کاله لئونب بافت درشت طینق,بله,3,3900000
1300,,شال پیچازی درشت,بله,3,2850000
1342,,کت ژاکارد طوش سورمه ای,بله,7,13900000
1145,,کت ژاکارد یک و دو تک رنگ 4411,بله,2,14700000
1171,,شومیز لینن یک و دو چند رنگ 0711,بله,4,13900000
1359,,شلوار کرپ فیونا,بله,1,7650000
1315,,شلوار جین بگ,بله,4,18900000
1173,,شلوار لینن یک و دو تک رنگ 1111,بله,3,8600000
1445,,شکت چهارخونه موهر,بله,0,5800000
1416,,شومیز جلو گره راه راه,خیر,8,4870000
1237,,ژیله بافت پنج رنگ، فری سایز پیچازی:,بله,1,3850000
1182,,شومیز تییون,بله,10,7900000
1476,,شلوار نیم بگ بازاری,بله,12,12900000
1222,,هودی جین,بله,1,16700000
1417,,شومیز گازوئییل,بله,3,7580000
1128,,شومیز موسل نن یک و دو چند رنگ 7011,بله,4,7650000
1164,,پیراهن لینن نچرال یک و دو تک رنگ 0501,بله,3,12900000
1446,,بارونب سانتانا قد 57,بله,2,19800000
1444,,پالتو زرشگ,بله,1,9900000
1327,,کراپ بندی,بله,2,1880000
1248,,بلوز پنبه الکرا سفید,بله,0,2900000
1159,,پیراهن لینن پنبه یک و دو چند رنگ 7511,بله,0,8700000
1468,,جوراب کالج تک رنگ زنانه,بله,30,850000
1302,,شال چهارخونه درشت,بله,3,4580000
1371,,شال مشگ گلکیس منگوله دار,بله,0,2980000
1085,,پیراهن لینن یک و دو تک رنگ 7401,بله,1,6700000
1215,,دامن چ نن دار کتان,بله,1,8700000
1437,,کراپ بافت زنج یی,بله,8,8900000
1477,,کت بیسیک بازاری روجا,بله,12,18900000
1331,,بل نی ژاکارد,بله,6,3970000
1370,,شال مجلیس دستک شیشه ای,بله,4,3900000
1407,,تل عینگ,بله,9,1350000
1234,,بارونب بلند کتان رنگبندی سفاررش:,بله,2,14700000
1228,,شلوار واید اسییت عرب روشن,بله,3,6900000
1072,,شومیز لینن یک و دو تک رنگ 0701,بله,2,6800000
1381,,کت لینن پولیک,بله,1,14600000
1474,,شلوار جین بگ سایز بزرگ,بله,13,21900000
1294,,ست بلوز و شلوار میله ای سایز بندی چهار رنگ,بله,10,18900000
1439,,جوراب پای نیه ساق بلند طرح داره,بله,22,880000
1176,,شلوار لینن نچرال یک و دو چند رنگ 5711,بله,2,7650000
1259,,کراپ بارونب زارا و جین,بله,0,8450000
1250,,بلوز کرپ یقه سه سانت چند رنگ,بله,14,4900000
1398,,جوراب کالج کرپ,بله,9,690000
